productName,categoryName,unitPrice
"Product HHYDP",Beverages,18.00
"Product RECZE",Beverages,19.00
"Product QOGNU",Beverages,4.50
"Product SWNJY",Beverages,14.00
"Product NEVTJ",Beverages,18.00
"Product QDOMO",Beverages,263.50
"Product LSOFL",Beverages,18.00
"Product ZZZHR",Beverages,46.00
"Product XLXQF",Beverages,14.00
"Product TOONT",Beverages,15.00
"Product BWRLG",Beverages,7.75
"Product JYGFE",Beverages,18.00
"Product IMEHJ",Condiments,10.00
"Product KSBRM",Condiments,22.00
"Product EPEIM",Condiments,21.35
"Product VAIIV",Condiments,25.00
"Product WVJFP",Condiments,40.00
"Product KSZOI",Condiments,15.50
"Product VJIEO",Condiments,19.45
"Product XYZPE",Condiments,28.50
"Product ICKNK",Condiments,43.90
"Product XYWBZ",Condiments,21.05
"Product LQMGN",Condiments,17.00
"Product LUNZZ",Condiments,13.00
"Product PAFRH",Confections,17.45
"Product XKXDO",Confections,9.20
"Product QHFFP",Confections,81.00
"Product VJZZH",Confections,10.00
"Product LYLNI",Confections,14.00
"Product HLGZA",Confections,31.23
"Product SMIOH",Confections,43.90
"Product EZZPR",Confections,9.50
"Product MYNXN",Confections,12.75
"Product FPYPN",Confections,20.00
"Product BIUDV",Confections,16.25
"Product WUXYK",Confections,49.30
"Product TBTBL",Confections,12.50
"Product QMVUN","Dairy Products",21.00
"Product OSFNS","Dairy Products",38.00
"Product XWOXC","Dairy Products",12.50
"Product NUNAW","Dairy Products",32.00
"Product ASTMN","Dairy Products",2.50
"Product UKXRI","Dairy Products",55.00
"Product WHBYK","Dairy Products",34.00
"Product COAXA","Dairy Products",36.00
"Product MYMOI","Dairy Products",21.50
"Product GEEOO","Dairy Products",34.80
"Product CPHFY",Grains/Cereals,21.00
"Product JLUDZ",Grains/Cereals,9.00
"Product RJVNM",Grains/Cereals,14.00
"Product QSRXF",Grains/Cereals,7.00
"Product VKCMF",Grains/Cereals,38.00
"Product OVLQI",Grains/Cereals,19.50
"Product HCQDE",Grains/Cereals,33.25
"Product AOZBW",Meat/Poultry,97.00
"Product BLCAX",Meat/Poultry,39.00
"Product VJXYN",Meat/Poultry,123.79
"Product BKGEA",Meat/Poultry,32.80
"Product QAQRL",Meat/Poultry,7.45
"Product YYWRT",Meat/Poultry,24.00
"Product HMLNI",Produce,30.00
"Product PWCJB",Produce,23.25
"Product OFBNT",Produce,45.60
"Product APITJ",Produce,53.00
"Product BKAZJ",Produce,10.00
"Product YHXGE",Seafood,31.00
"Product POXFU",Seafood,6.00
"Product CKEDC",Seafood,62.50
"Product LYERX",Seafood,25.89
"Product GMKIJ",Seafood,19.00
"Product EVFFA",Seafood,26.00
"Product YZIXQ",Seafood,18.40
"Product TTEEX",Seafood,9.65
"Product AQOKR",Seafood,9.50
"Product CBRRL",Seafood,12.00
"Product ACRVI",Seafood,13.25
"Product WEUJZ",Seafood,15.00
