productId,productName,supplierId,categoryId,quantityPerUnit,unitPrice,unitsInStock,unitsOnOrder,reorderLevel,discontinued
7,"Product HMLNI",3,7,NULL,30.00,NULL,NULL,NULL,0
8,"Product WVJFP",3,2,NULL,40.00,NULL,NULL,NULL,0
9,"Product AOZBW",4,6,NULL,97.00,NULL,NULL,NULL,1
10,"Product YHXGE",4,8,NULL,31.00,NULL,NULL,NULL,0
12,"Product OSFNS",5,4,NULL,38.00,NULL,NULL,NULL,0
17,"Product BLCAX",7,6,NULL,39.00,NULL,NULL,NULL,1
18,"Product CKEDC",7,8,NULL,62.50,NULL,NULL,NULL,0
20,"Product QHFFP",8,3,NULL,81.00,NULL,NULL,NULL,0
26,"Product HLGZA",11,3,NULL,31.23,NULL,NULL,NULL,0
27,"Product SMIOH",11,3,NULL,43.90,NULL,NULL,NULL,0
28,"Product OFBNT",12,7,NULL,45.60,NULL,NULL,NULL,1
29,"Product VJXYN",12,6,NULL,123.79,NULL,NULL,NULL,1
32,"Product NUNAW",14,4,NULL,32.00,NULL,NULL,NULL,0
38,"Product QDOMO",18,1,NULL,263.50,NULL,NULL,NULL,0
43,"Product ZZZHR",20,1,NULL,46.00,NULL,NULL,NULL,0
51,"Product APITJ",24,7,NULL,53.00,NULL,NULL,NULL,0
53,"Product BKGEA",24,6,NULL,32.80,NULL,NULL,NULL,1
56,"Product VKCMF",26,5,NULL,38.00,NULL,NULL,NULL,0
59,"Product UKXRI",28,4,NULL,55.00,NULL,NULL,NULL,0
60,"Product WHBYK",28,4,NULL,34.00,NULL,NULL,NULL,0
62,"Product WUXYK",29,3,NULL,49.30,NULL,NULL,NULL,0
63,"Product ICKNK",7,2,NULL,43.90,NULL,NULL,NULL,0
64,"Product HCQDE",12,5,NULL,33.25,NULL,NULL,NULL,0
69,"Product COAXA",15,4,NULL,36.00,NULL,NULL,NULL,0
72,"Product GEEOO",14,4,NULL,34.80,NULL,NULL,NULL,0
