categoryName,unitPrice,rank_
Beverages,4.50,1
Beverages,7.75,2
Beverages,14.00,3
Beverages,14.00,3
Beverages,15.00,4
Beverages,18.00,5
Beverages,18.00,5
Beverages,18.00,5
Beverages,18.00,5
Beverages,19.00,6
Beverages,46.00,7
Beverages,263.50,8
Condiments,10.00,1
Condiments,13.00,2
Condiments,15.50,3
Condiments,17.00,4
Condiments,19.45,5
Condiments,21.05,6
Condiments,21.35,7
Condiments,22.00,8
Condiments,25.00,9
Condiments,28.50,10
Condiments,40.00,11
Condiments,43.90,12
Confections,9.20,1
Confections,9.50,2
Confections,10.00,3
Confections,12.50,4
Confections,12.75,5
Confections,14.00,6
Confections,16.25,7
Confections,17.45,8
Confections,20.00,9
Confections,31.23,10
Confections,43.90,11
Confections,49.30,12
Confections,81.00,13
"Dairy Products",2.50,1
"Dairy Products",12.50,2
"Dairy Products",21.00,3
"Dairy Products",21.50,4
"Dairy Products",32.00,5
"Dairy Products",34.00,6
"Dairy Products",34.80,7
"Dairy Products",36.00,8
"Dairy Products",38.00,9
"Dairy Products",55.00,10
Grains/Cereals,7.00,1
Grains/Cereals,9.00,2
Grains/Cereals,14.00,3
Grains/Cereals,19.50,4
Grains/Cereals,21.00,5
Grains/Cereals,33.25,6
Grains/Cereals,38.00,7
Meat/Poultry,7.45,1
Meat/Poultry,24.00,2
Meat/Poultry,32.80,3
Meat/Poultry,39.00,4
Meat/Poultry,97.00,5
Meat/Poultry,123.79,6
Produce,10.00,1
Produce,23.25,2
Produce,30.00,3
Produce,45.60,4
Produce,53.00,5
Seafood,6.00,1
Seafood,9.50,2
Seafood,9.65,3
Seafood,12.00,4
Seafood,13.25,5
Seafood,15.00,6
Seafood,18.40,7
Seafood,19.00,8
Seafood,25.89,9
Seafood,26.00,10
Seafood,31.00,11
Seafood,62.50,12
